ETF_ID,ETF_Name,Ticker,Provider,Risk_Category,Asset_Class,Annualised_Volatility,Maximum_Drawdown,Daily_VaR_95,Daily_CVaR_95,Beta,Annualised_Volatility_Percent,Maximum_Drawdown_Percent,Daily_VaR_95_Percent,Daily_CVaR_95_Percent,Number_of_Holdings,Holdings_Count_Risk,Main_Currency_Exposure,Currency_Risk_Level,Currency_Risk_Score,Largest_Sector_Exposure,Number_of_Sectors,Sector_HHI,Effective_Sectors,Largest_Country_Exposure,Number_of_Countries,Country_HHI,Effective_Countries,Drawdown_Risk_Value,CVaR_Risk_Value,Beta_Risk_Value,Volatility_Score,Drawdown_Score,CVaR_Score,Beta_Score,Sector_Concentration_Score,Country_Concentration_Score,Market_Risk_Score,Concentration_Risk_Score,Overall_Risk_Score,Risk_Rank,Risk_Band,Main_Risk_Driver
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Vanguard,Medium,Equity,0.1286387546376754,-0.1764199702099051,-0.0126777227947787,-0.0189679155413451,1.0,12.86,-17.64,1.27,1.9,3782,18.07,USD-dominant / multi-currency,Medium,50,35.1,11.0,0.1853,5.4,61.7,16.0,0.3937,2.54,0.1764199702099051,0.0189679155413451,1.0,37.47198675431691,21.964087849912072,45.62435862746257,67.98096532970767,5.035551929129268,30.33436745949673,39.43405683759049,17.8389758165878,34.01212684753064,14,Low,Currency risk
SWDA,iShares Core MSCI World UCITS ETF,SWDA.L,iShares,Medium,Equity,0.2282663858882792,-0.2741752439179401,-0.013244357585352,-0.0229106299654497,0.968,22.83,-27.42,1.32,2.29,1283,29.8,USD-dominant / multi-currency developed markets,Medium,50,30.27,11.0,0.1589,6.29,72.45,6.0,0.547,1.83,0.2741752439179401,0.0229106299654497,0.968,71.89210661008632,40.62335156950206,56.682229549559,65.80557443915703,1.9582701946613836,47.948983109272675,57.79603100713982,26.892175991180217,47.74527140163795,9,Moderate,Market risk
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Vanguard,Medium,Equity,0.1426545743292773,-0.2087958605541071,-0.0143098020423741,-0.0212141170648123,1.062,14.27,-20.88,1.43,2.12,504,39.94,USD,Medium,50,37.45,11.0,0.1931,5.18,100.0,1.0,1.0,1.0,0.2087958605541071,0.0212141170648123,1.062,42.314279877278885,28.143910719553705,51.92413178873013,72.19578518014956,5.944748805222052,100.0,44.94785790325474,47.75942464156662,46.29654213442283,10,Moderate,Currency risk
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,iShares,Medium,Equity,0.1253983285278937,-0.1317972395104948,-0.0123681904445158,-0.019460369362096,0.664,12.54,-13.18,1.24,1.95,100,57.41,GBP-dominant,Low,25,28.61,12.0,0.1559,6.42,100.0,1.0,1.0,1.0,0.1317972395104948,0.019460369362096,0.664,36.352459433609134,13.446621032772944,47.00551135606613,45.1393609789259,1.6085790884718507,100.0,33.46200612577004,53.44657372654155,38.611175793424486,12,Low,Concentration risk
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Invesco,Higher,Equity,0.1929148268731543,-0.281649532816268,-0.0198548731913096,-0.0274794242962876,1.355,19.29,-28.16,1.99,2.75,100,57.41,USD,Medium,50,68.51,9.0,0.5005,2.0,100.0,1.0,1.0,1.0,0.281649532816268,0.0274794242962876,1.355,59.678578263435696,42.0500237313216,69.4960254641553,92.11420802175391,41.77643081944282,100.0,61.7097181677291,65.49692924583285,61.67490967438731,4,High,Concentration risk
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Vanguard,Medium,Equity,0.1365617262833316,-0.1637847303457631,-0.012733237387432,-0.0199239222630191,0.84,13.66,-16.38,1.27,1.99,515,39.7,EUR/GBP/CHF/multi-Europe,Medium,50,24.7,12.0,0.1421,7.04,22.47,16.0,0.1297,7.71,0.1637847303457631,0.0199239222630191,0.84,40.20927590025047,19.55230724880141,48.305607582318956,57.10401087695445,0.0,0.0,38.57047847183847,15.880000000000003,32.90628708310308,15,Low,Currency risk
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Vanguard,Medium,Equity,0.1571471219761368,-0.1834335554431754,-0.0155019808977924,-0.0223320913179279,0.822,15.71,-18.34,1.55,2.23,476,40.55,JPY,Medium,50,26.1,11.0,0.1648,6.07,100.0,1.0,1.0,1.0,0.1834335554431754,0.0223320913179279,0.822,47.32127663870524,23.302822135269157,55.059640388997835,55.880353501019705,2.6459960368341293,100.0,43.33419275459474,47.013798811050236,45.10465529607191,11,Moderate,Currency risk
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Vanguard,Higher,Equity,0.1526464777427182,-0.1907224087056407,-0.0151553482429291,-0.0221089392407485,0.841,15.26,-19.07,1.52,2.21,2306,23.44,TWD/CNY/INR/BRL/ZAR/SAR/MXN/multi-EM,High,75,36.6,11.0,0.2023,4.94,33.78,16.0,0.2143,4.67,0.1907224087056407,0.0221089392407485,0.841,45.76635947367922,24.694098841669035,54.43378048639838,57.17199184228415,7.017134864203288,9.720785935884175,43.322381392546696,14.39737624002624,37.81264170753589,13,Low,Currency risk
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,iShares,Higher,Equity,0.2908059634672375,-0.5125706866369031,-0.0262696938724017,-0.0383066657953526,0.94,29.08,-51.26,2.63,3.83,576,38.49,CNY/HKD/USD,High,75,22.36,11.0,0.1534,6.52,100.0,1.0,1.0,1.0,0.5125706866369031,0.0383066657953526,0.94,93.49876059729418,86.12763247947318,99.86247508755571,63.902107409925215,1.3171698333139064,100.0,88.43885280640791,45.791150949994176,74.300656968843,3,High,Market risk
IUIT,iShares S&P 500 Information Technology Sector UCITS ETF,IUIT.L,iShares,Higher,Equity,0.2376142962529759,-0.3346145012488102,-0.024502658801981,-0.0327538975161882,1.471,23.76,-33.46,2.45,3.28,74,60.64,USD,Medium,50,100.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,0.3346145012488102,0.0327538975161882,1.471,75.12169453780187,52.15983444940393,84.28899238337637,100.00000000000001,100.00000000000001,100.0,74.25670679200583,84.256,74.8308240752035,2,High,Concentration risk
IUHC,iShares S&P 500 Health Care Sector UCITS ETF,IUHC.L,iShares,Medium,Equity,0.1486398737556159,-0.1763040349255382,-0.0149491679305234,-0.0210810554580049,0.56,14.86,-17.63,1.49,2.11,60,62.89,USD,Medium,50,100.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,0.1763040349255382,0.0210810554580049,0.56,44.38212713050758,21.94195843465547,51.550942682319736,38.06934058463631,100.00000000000001,100.0,38.49536242782429,85.156,53.64401745669457,6,Moderate,Concentration risk
INRG,iShares Global Clean Energy Transition UCITS ETF,INRG.L,iShares,Higher,Equity,0.3096235354163981,-0.5852475673716888,-0.0252077024091686,-0.0383557006827905,1.04,30.96,-58.52,2.52,3.84,106,56.79,USD / multi-country,High,75,39.0,4.0,0.333,3.0,100.0,1.0,1.0,1.0,0.5852475673716888,0.0383557006827905,1.04,100.0,100.0,100.0,70.70020394289598,22.25201072386059,100.0,95.6050305914344,59.39160321715818,82.6804993200081,1,Very High,Market risk
VGOV,Vanguard U.K. Gilt UCITS ETF,VGOV.L,Vanguard,Lower,Bond,0.1130849316495864,-0.3737801042219877,-0.0109822008902908,-0.0154397149678123,0.038,11.31,-37.38,1.1,1.54,64,62.2,GBP,Low,25,,,,,99.7,2.0,0.994,1.01,0.3737801042219877,0.0154397149678123,0.038,32.09833243025909,59.635659403829976,35.72904734372623,2.5832766825288918,,99.31058255773871,36.839950888537615,78.10453538188803,48.03533114768898,8,Moderate,Concentration risk
IGLO,iShares Global Govt Bond UCITS ETF,IGLO.L,iShares,Lower,Bond,0.0745652348711249,-0.2588250778622329,-0.0076698126430741,-0.0100327948690647,-0.02,7.46,-25.88,0.77,1.0,895,33.71,USD / multi-developed government bond currencies,Medium,50,,,,,55.12,8.0,0.3408,2.93,0.2588250778622329,0.0100327948690647,0.0,18.790251496491997,37.69335315910022,20.564615405032615,0.0,,24.256003676893027,22.086235247935818,29.658287290097014,27.149227335790595,17,Low,Currency risk
IBTG,iShares $ Treasury Bond 1-3yr UCITS ETF GBP Hedged,IBTG.L,iShares,Lower,Bond,0.0201776192834114,-0.0613508307314123,-0.001755000148379,-0.0027004244376495,-0.023,2.02,-6.14,0.18,0.27,91,58.43,GBP-hedged USD Treasury exposure,Low,25,,,,,99.83,2.0,0.9966,1.0,0.0613508307314123,0.0027004244376495,0.0,0.0,0.0,0.0,0.0,,99.60933011605194,0.0,76.07828433545083,25.323485300635248,19,Low,Concentration risk
AGGG,iShares Core Global Aggregate Bond UCITS ETF,AGGG.L,iShares,Lower,Bond,0.0681881421312833,-0.2423754400891471,-0.0067558749346579,-0.0094017360274647,0.023,6.82,-24.24,0.68,0.94,19974,0.0,USD / multi-currency global aggregate bonds,Medium,50,,,,,48.33,7.0,0.3243,3.08,0.2423754400891471,0.0094017360274647,0.023,16.58704447770247,34.55349054446045,18.794726322526913,1.5635622025832765,,22.36010571067448,20.275376417668095,9.58290244743192,20.040096584830433,20,Low,Currency risk
CORP,iShares Global Corp Bond UCITS ETF,CORP.L,iShares,Medium,Bond,0.0691858817492874,-0.2480241909329648,-0.0068786339847725,-0.0101199543042368,0.104,6.92,-24.8,0.69,1.01,14720,3.31,USD / multi-currency global corporate bonds,Medium,50,,,,,89.67,3.0,0.813,1.23,0.2480241909329648,0.0101199543042368,0.104,16.93175123029168,35.631708912462294,20.809065720247823,7.070020394289599,,78.51315638285647,22.03180753203159,35.53992416408135,28.88106176844336,16,Low,Currency risk
GHYS,iShares Global High Yield Corp Bond GBP Hedged UCITS ETF,GHYS.L,iShares,Higher,Bond,0.0598154568357372,-0.1469938450298936,-0.006136786301901,-0.0089092935259913,0.268,5.98,-14.7,0.61,0.89,1768,26.32,GBP-hedged global high-yield exposure,Low,25,,,,,90.67,5.0,0.8272,1.21,0.1469938450298936,0.0089092935259913,0.268,13.694384803174797,16.347308221025703,17.413605340353875,18.218898708361657,,80.14477766287487,16.098744048602867,49.3877618555178,26.97557498581706,18,Low,Concentration risk
SGLN,iShares Physical Gold ETC,SGLN.L,iShares,Alternative,Gold,0.1655880337797864,-0.2488946684005211,-0.0158726126409734,-0.0244987495856292,0.037,16.56,-24.89,1.59,2.45,1,100.0,USD gold price exposure,Medium,50,,,,,,,,,0.2488946684005211,0.0244987495856292,0.037,50.23750773169167,35.79786331020461,61.13632383075511,2.515295717199184,,,41.47198662783754,100.0,59.88319197670252,5,Moderate,Concentration risk
IWDP,iShares Developed Markets Property Yield UCITS ETF,IWDP.L,iShares,Alternative,Property,0.1379689569053468,-0.3026875726494863,-0.0143290771873012,-0.0198762010673019,0.67,13.8,-30.27,1.43,1.99,315,45.03,USD / multi-developed property currencies,Medium,50,,,,,100.0,1.0,1.0,1.0,0.3026875726494863,0.0198762010673019,0.67,40.69545675255472,46.065708190082354,48.17176709433871,45.547246770904145,,100.0,44.90337827201142,68.58857142857143,52.51859839177828,7,Moderate,Concentration risk
